month,indicator,value
2018-12,lpr_1y,4.31
2018-12,m0,3.6
2018-12,m1,1.5
2018-12,m2,8.1
2018-12,pmi,49.4
2018-12,ppi,0.9
2018-12,retail_sales,8.2
2018-12,sf_enterprise,4670.21
2018-12,sf_government,17.9
2018-12,sf_household,4593.26
2018-12,us_cpi,1.9
2019-01,cpi,1.7
2019-01,lpr_1y,4.31
2019-01,m0,17.2
2019-01,m1,0.4
2019-01,m2,8.4
2019-01,pmi,49.5
2019-01,ppi,0.1
2019-01,sf_enterprise,25747.75
2019-01,sf_government,3.6
2019-01,sf_household,9943.9
2019-01,us_cpi,1.6
2019-02,cpi,1.5
2019-02,industrial_production,5.3
2019-02,lpr_1y,4.31
2019-02,m0,-2.4
2019-02,m1,2.0
2019-02,m2,8.0
2019-02,pmi,49.2
2019-02,ppi,0.1
2019-02,sf_enterprise,8340.97
2019-02,sf_government,45.0
2019-02,sf_household,-705.94
2019-02,us_cpi,1.5
2019-03,cpi,2.3
2019-03,industrial_production,8.5
2019-03,lpr_1y,4.31
2019-03,m0,3.1
2019-03,m1,4.6
2019-03,m2,8.6
2019-03,pmi,50.5
2019-03,ppi,0.4
2019-03,retail_sales,8.7
2019-03,sf_enterprise,10670.84
2019-03,sf_government,11.5
2019-03,sf_household,8904.25
2019-03,us_cpi,1.9
2019-04,cpi,2.5
2019-04,industrial_production,5.4
2019-04,lpr_1y,4.31
2019-04,m0,3.5
2019-04,m1,2.9
2019-04,m2,8.5
2019-04,pmi,50.1
2019-04,ppi,0.9
2019-04,retail_sales,7.2
2019-04,sf_enterprise,3470.51
2019-04,sf_government,26.5
2019-04,sf_household,5257.78
2019-04,us_cpi,2.0
2019-05,cpi,2.7
2019-05,industrial_production,5.0
2019-05,lpr_1y,4.31
2019-05,m0,4.3
2019-05,m1,3.4
2019-05,m2,8.5
2019-05,pmi,49.4
2019-05,ppi,0.6
2019-05,retail_sales,8.6
2019-05,sf_enterprise,5223.87
2019-05,sf_government,22.5
2019-05,sf_household,6625.34
2019-05,us_cpi,1.8
2019-06,cpi,2.7
2019-06,industrial_production,6.3
2019-06,lpr_1y,4.31
2019-06,m0,4.3
2019-06,m1,4.4
2019-06,m2,8.5
2019-06,pmi,49.4
2019-06,ppi,0.0
2019-06,retail_sales,9.8
2019-06,sf_enterprise,9159.81
2019-06,sf_government,26.2
2019-06,sf_household,7581.57
2019-06,us_cpi,1.6
2019-07,cpi,2.8
2019-07,industrial_production,4.8
2019-07,lpr_1y,4.31
2019-07,m0,4.5
2019-07,m1,3.1
2019-07,m2,8.1
2019-07,pmi,49.7
2019-07,ppi,-0.3
2019-07,retail_sales,7.6
2019-07,sf_enterprise,2974.42
2019-07,sf_government,49.9
2019-07,sf_household,5112.42
2019-07,us_cpi,1.8
2019-08,cpi,2.8
2019-08,industrial_production,4.4
2019-08,lpr_1y,4.25
2019-08,lpr_5y,4.85
2019-08,m0,4.8
2019-08,m1,3.4
2019-08,m2,8.2
2019-08,pmi,49.5
2019-08,ppi,-0.8
2019-08,retail_sales,7.5
2019-08,sf_enterprise,6512.52
2019-08,sf_government,23.0
2019-08,sf_household,6538.18
2019-08,us_cpi,1.7
2019-09,cpi,3.0
2019-09,industrial_production,5.8
2019-09,lpr_1y,4.2
2019-09,lpr_5y,4.85
2019-09,m0,4.0
2019-09,m1,3.4
2019-09,m2,8.4
2019-09,pmi,49.8
2019-09,ppi,-1.2
2019-09,retail_sales,7.8
2019-09,sf_enterprise,10034.66
2019-09,sf_government,15.0
2019-09,sf_household,7565.73
2019-09,us_cpi,1.7
2019-10,cpi,3.8
2019-10,lpr_1y,4.2
2019-10,lpr_5y,4.85
2019-10,m0,4.7
2019-10,m1,3.3
2019-10,m2,8.4
2019-10,pmi,49.3
2019-10,ppi,-1.6
2019-10,retail_sales,7.2
2019-10,sf_enterprise,1262.01
2019-10,sf_government,21.6
2019-10,sf_household,4209.5
2019-10,us_cpi,1.8
2019-11,cpi,4.5
2019-11,industrial_production,6.2
2019-11,lpr_1y,4.15
2019-11,lpr_5y,4.8
2019-11,m0,4.8
2019-11,m1,3.5
2019-11,m2,8.2
2019-11,pmi,50.2
2019-11,ppi,-1.4
2019-11,retail_sales,8.0
2019-11,sf_enterprise,6793.64
2019-11,sf_government,8.6
2019-11,sf_household,6831.28
2019-11,us_cpi,2.1
